Antibiótico,Microrganismo,sítio,Ano,periodo,n_amostra,n_sensivel,Sensibilidade
Ceftazidima,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Ceftazidime/Avbactam,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Ceftriaxona,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Ciprofloxacina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Ertapenem,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Gentamicina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Imipenem,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Levofloxacim,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Meropenem,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Piperacilina/Tozobactan,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Smx-Tmp,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Tigeciclina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Tobramicina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Ampicilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Cefadroxil,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Cefazolina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Ceftaroline,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Ciprofloxacina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Clindamicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Eritromicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Linezolida,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Oxacilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Penicilina ,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Rifampicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Smx-Tmp,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Teicoplanina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Tetraciclinas,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Tobramicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Vancomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Ampicilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Cefadroxil,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Cefazolina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Ceftaroline,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Ciprofloxacina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Clindamicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Eritromicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Linezolida,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Oxacilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Penicilina ,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Rifampicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Smx-Tmp,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Teicoplanina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Tetraciclinas,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Tobramicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Vancomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,16,6,38.0
Amicacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Aztreonam,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefepime,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefotaxima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftazidima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftriaxona,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ciprofloxacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ertapenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Gentamicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Imipenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Levofloxacim,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Meropenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Piperacilina/Tozobactan,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Smx-Tmp,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Tobramicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Amicacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Aztreonam,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefepime,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefotaxima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftazidima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftriaxona,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ciprofloxacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ertapenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Gentamicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Imipenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Levofloxacim,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Meropenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Piperacilina/Tozobactan,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Smx-Tmp,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Tobramicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Amicacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Aztreonam,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefepime,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefotaxima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftazidima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftriaxona,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ciprofloxacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ertapenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Gentamicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Imipenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Levofloxacim,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Meropenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Piperacilina/Tozobactan,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Smx-Tmp,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Tobramicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Amicacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Aztreonam,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefepime,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefotaxima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftazidima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftriaxona,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ciprofloxacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ertapenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Gentamicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Imipenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Levofloxacim,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Meropenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Piperacilina/Tozobactan,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Smx-Tmp,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Tobramicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Amicacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Aztreonam,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefepime,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefotaxima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftazidima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftriaxona,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ciprofloxacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ertapenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Gentamicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Imipenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Levofloxacim,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Meropenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Piperacilina/Tozobactan,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Smx-Tmp,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Tobramicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Amicacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Aztreonam,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefepime,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Cefotaxima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftazidima,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ceftriaxona,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ciprofloxacina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Ertapenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Gentamicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Imipenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Levofloxacim,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Meropenem,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Piperacilina/Tozobactan,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Smx-Tmp,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Tobramicina,Enterobacter Spp ,Hemocultura,2023,1º sem. de 2023,15,15,100.0
Amicacina,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Aztreonam,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Cefepime,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Ceftazidima,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Ceftazidime/Avbactam,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Ciprofloxacina,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Gentamicina,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Imipenem,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Levofloxacim,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Meropenem,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Piperacilina/Tozobactan,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Tobramicina,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Amicacina,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Aztreonam,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Cefepime,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Ceftazidima,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Ceftazidime/Avbactam,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Ciprofloxacina,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Gentamicina,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Imipenem,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Levofloxacim,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Meropenem,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Piperacilina/Tozobactan,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Tobramicina,Pseudomonas Aeruginosa,Hemocultura,2023,1º sem. de 2023,12,12,100.0
Amicacina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Ampicilina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Aztreonam,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Cefepime,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Cefotaxima,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Ceftazidima,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Ceftriaxona,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Ciprofloxacina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Ertapenem,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Gentamicina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Imipenem,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Levofloxacim,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Meropenem,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Piperacilina/Tozobactan,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Smx-Tmp,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Tigeciclina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Tobramicina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,17,16,94.0
Amicacina,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Aztreonam,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Cefepime,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Ceftazidima,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Ceftazidime/Avbactam,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Ciprofloxacina,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Gentamicina,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Imipenem,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Levofloxacim,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Piperacilina/Tozobactan,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Tobramicina,Pseudomonas Spp,Hemocultura,2023,1º sem. de 2023,11,11,100.0
Amicacina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Ampicilina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Aztreonam,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Cefepime,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Cefotaxima,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Ceftazidima,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Ceftriaxona,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Ciprofloxacina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Ertapenem,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Gentamicina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Imipenem,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Levofloxacim,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Meropenem,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Piperacilina/Tozobactan,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Smx-Tmp,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Tobramicina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,16,15,94.0
Amicacina,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Aztreonam,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Cefepime,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Ceftazidima,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Ceftazidime/Avbactam,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Ciprofloxacina,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Gentamicina,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Imipenem,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Levofloxacim,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Meropenem,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Piperacilina/Tozobactan,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Tobramicina,Pseudomonas Aeruginosa,Vigilancia,2023,1º sem. de 2023,12,12,100.0
Amicacina,Klebsiella Spp,Hemocultura,2023,2º sem. de 2023,17,11,65.0
Ampicilina,Klebsiella Spp,Hemocultura,2023,2º sem. de 2023,17,11,65.0
Aztreonam,Klebsiella Spp,Hemocultura,2023,2º sem. de 2023,17,11,65.0
